,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,iso2Code,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,WB
215.0,PER,Peru,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,PER,PE,Peru,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Lima,-77.0465,-12.0931,PER
216.0,PHL,Philippines,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,PHL,PH,Philippines,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Manila,121.035,14.5515,PHL
217.0,PLW,Palau,Oceania,Western Pacific,East Asia and Pacific,Oceania,PLW,PW,Palau,East Asia & Pacific,,High income,IBRD,Koror,134.479,7.34194,PLW
218.0,PNG,Papua New Guinea,Oceania,Western Pacific,East Asia and Pacific,Oceania,PNG,PG,Papua New Guinea,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Port Moresby,147.194,-9.47357,PNG
219.0,POL,Poland,Europe,Europe,Europe and Central Asia,Europe and Northern America,POL,PL,Poland,Europe & Central Asia,,High income,IBRD,Warsaw,21.02,52.26,POL
220.0,PRI,Puerto Rico,North America,,Latin America and Caribbean,Latin America and Caribbean,PRI,PR,Puerto Rico,Latin America & Caribbean ,,High income,Not classified,San Juan,-66.0,18.23,PRI
221.0,PRK,North Korea,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,PRK,KP,"Korea, Dem. People's Rep.",East Asia & Pacific,East Asia & Pacific (excluding high income),Low income,Not classified,Pyongyang,125.754,39.0319,PRK
222.0,PRT,Portugal,Europe,Europe,Europe and Central Asia,Europe and Northern America,PRT,PT,Portugal,Europe & Central Asia,,High income,Not classified,Lisbon,-9.13552,38.7072,PRT
223.0,PRY,Paraguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,PRY,PY,Paraguay,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Asuncion,-57.6362,-25.3005,PRY
224.0,PSE,Palestine,Asia,,Middle East and North Africa,Northern Africa and Western Asia,PSE,PS,West Bank and Gaza,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,Not classified,,,,PSE
225.0,PYF,French Polynesia,Oceania,,East Asia and Pacific,Oceania,PYF,PF,French Polynesia,East Asia & Pacific,,High income,Not classified,Papeete,-149.57,-17.535,PYF
226.0,QAT,Qatar,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,QAT,QA,Qatar,Middle East & North Africa,,High income,Not classified,Doha,51.5082,25.2948,QAT
227.0,REU,Reunion,Africa,,,Sub-Saharan Africa,REU,,,,,,,,,,
228.0,ROU,Romania,Europe,Europe,Europe and Central Asia,Europe and Northern America,ROU,RO,Romania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Bucharest,26.0979,44.4479,ROU
